processing_acps,capital_mun_id
ARACAJU,2800308
BELEM,1501402
BELO HORIZONTE,3106200
BOA VISTA,1400100
BRASILIA,5300108
CAMPO GRANDE,5002704
CUIABA,5103403
CURITIBA,4106902
FLORIANOPOLIS,4205407
FORTALEZA,2304400
GOIANIA,5208707
JOAO PESSOA,2507507
MACAPA,1600303
MACEIO,2704302
MANAUS,1302603
NATAL,2408102
PALMAS,1721000
PORTO ALEGRE,4314902
PORTO VELHO,1100205
RECIFE,2611606
RIO BRANCO,1200401
RIO DE JANEIRO,3304557
SALVADOR,2927408
SAO LUIS,2111300
SAO PAULO,3550308
TERESINA,2211001
VITORIA,3205002
