cod_ibge;txt_modalidade;ano;qtd_uh_entregues;val_desembolsado
110001;Rural;2012;42,0;0,003191208069805397
110001;Oferta P̼blica;2013;0,0;0,0005493298176225005
110001;Rural;2014;50,0;0,004036537947427071
110002;Rural;2010;5,0;5,495737505990354e-05
110002;FAR;2013;649,0;0,021968201014193937
110002;Entidades;2014;91,0;0,002841198585295483
110002;Rural;2016;12,0;0,00016755587255865142
110003;Rural;2012;25,0;0,00627598256783082
110003;Rural;2015;8,0;0,0020932526916312786
110004;Rural;2010;15,0;0,00018963433443405529
110004;Rural;2011;118,0;0,001405850881317592
110004;FAR;2012;417,0;0,01731544650890031
110004;Rural;2012;150,0;0,002731832403903242
110004;FAR;2013;684,0;0,028634143006054755
110004;Rural;2013;277,0;0,0058946285864194346
110004;FAR;2017;0,0;0,012264500117872383
110004;FAR;2024;0,0;
110005;Oferta P̼blica;2010;24,0;0,0017214587809261286
110005;Rural;2010;30,0;0,001621468239490859
110005;Rural;2011;36,0;0,0016606315012570058
110005;Rural;2012;13,0;0,0009095157738020278
110005;Oferta P̼blica;2013;0,0;0,0018399524443060548
110005;Rural;2013;45,0;0,003885130353553939
110006;Oferta P̼blica;2012;40,0;0,004491806674441958
110006;Rural;2012;29,0;0,0032647216430781146
110007;Oferta P̼blica;2010;0,0;0,0030583437892095357
110007;Rural;2011;51,0;0,004208731053833246
110007;Rural;2012;35,0;0,004975209243085881
110007;Rural;2015;12,0;0,0019171738971011912
110007;Rural;2018;27,0;0,003084115649655448
110008;Oferta P̼blica;2010;24,0;0,003552605894983408
110008;Rural;2010;21,0;0,0023423775131758734
110008;Rural;2011;15,0;0,0014997750337449383
110008;Oferta P̼blica;2013;35,0;0,0058935881767608975
110008;Rural;2013;25,0;0,005092193750459132
110009;Rural;2011;35,0;0,0015104392932870324
110009;Rural;2012;74,0;0,004917897691778072
110009;Oferta P̼blica;2013;0,0;0,0004395774429955972
110009;Rural;2013;50,0;0,0035752298696975237
110009;Entidades;2014;0,0;0,024495046378698454
110009;Rural;2014;47,0;0,003100203508301452
110010;Oferta P̼blica;2012;30,0;0,0022884813589268693
110010;FNHIS;2024;0,0;
110011;Rural;2010;11,0;0,00020694948927374527
110011;FAR;2011;219,0;0,017201951793301713
110011;Rural;2011;128,0;0,0022283527714557294
110011;FAR;2012;394,0;0,02696894367360423
110011;Rural;2012;162,0;0,004029995104302244
110011;Rural;2014;50,0;0,0013487697451046291
110011;Rural;2015;34,0;0,0008584685814572443
110012;Rural;2010;27,0;0,0002182865957477771
